Start Time, Fri Feb 27 16:55:24 GMT+0000 2026
Energy calibration,  Offset: 0, Slope: 1, Quadratic: 0
Live Time (s), 250637.02734
Real Time (s), 250668.699227
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 1, 0
2, 2, 0
3, 3, 0
4, 4, 0
5, 5, 0
6, 6, 0
7, 7, 0
8, 8, 0
9, 9, 0
10, 10, 2553
11, 11, 2429
12, 12, 2345
13, 13, 2195
14, 14, 2170
15, 15, 2076
16, 16, 2095
17, 17, 2091
18, 18, 2171
19, 19, 2131
20, 20, 2129
21, 21, 2217
22, 22, 2276
23, 23, 2146
24, 24, 2209
25, 25, 2260
26, 26, 2236
27, 27, 2238
28, 28, 2318
29, 29, 2185
30, 30, 2166
31, 31, 2352
32, 32, 2276
33, 33, 2245
34, 34, 2177
35, 35, 2101
36, 36, 2174
37, 37, 2198
38, 38, 2261
39, 39, 2171
40, 40, 2202
41, 41, 2351
42, 42, 2474
43, 43, 2384
44, 44, 2359
45, 45, 2341
46, 46, 2383
47, 47, 2410
48, 48, 2477
49, 49, 2402
50, 50, 2371
51, 51, 2359
52, 52, 2438
53, 53, 2405
54, 54, 2349
55, 55, 2346
56, 56, 2451
57, 57, 2472
58, 58, 2444
59, 59, 2500
60, 60, 2611
61, 61, 2618
62, 62, 2727
63, 63, 2821
64, 64, 2963
65, 65, 3082
66, 66, 3278
67, 67, 3470
68, 68, 3444
69, 69, 3576
70, 70, 3655
71, 71, 3706
72, 72, 3793
73, 73, 3722
74, 74, 3718
75, 75, 3614
76, 76, 3486
77, 77, 3311
78, 78, 3282
79, 79, 3210
80, 80, 3205
81, 81, 3033
82, 82, 3053
83, 83, 3086
84, 84, 3074
85, 85, 3055
86, 86, 3159
87, 87, 3321
88, 88, 3161
89, 89, 3249
90, 90, 3297
91, 91, 3352
92, 92, 3401
93, 93, 3372
94, 94, 3591
95, 95, 3740
96, 96, 3856
97, 97, 3916
98, 98, 4252
99, 99, 4470
100, 100, 4673
101, 101, 5087
102, 102, 5508
103, 103, 6033
104, 104, 6413
105, 105, 7027
106, 106, 7535
107, 107, 8241
108, 108, 8621
109, 109, 9132
110, 110, 9447
111, 111, 9731
112, 112, 9984
113, 113, 9964
114, 114, 9905
115, 115, 9772
116, 116, 9573
117, 117, 9236
118, 118, 8996
119, 119, 8782
120, 120, 8583
121, 121, 8158
122, 122, 7705
123, 123, 7645
124, 124, 7522
125, 125, 7261
126, 126, 6975
127, 127, 6947
128, 128, 6854
129, 129, 6622
130, 130, 6302
131, 131, 6107
132, 132, 6007
133, 133, 5795
134, 134, 5461
135, 135, 5366
136, 136, 5091
137, 137, 4895
138, 138, 4864
139, 139, 4702
140, 140, 4459
141, 141, 4459
142, 142, 4428
143, 143, 4249
144, 144, 4243
145, 145, 4254
146, 146, 4157
147, 147, 4274
148, 148, 4151
149, 149, 4017
150, 150, 4080
151, 151, 4019
152, 152, 4144
153, 153, 4040
154, 154, 4128
155, 155, 4121
156, 156, 4130
157, 157, 4014
158, 158, 4155
159, 159, 4133
160, 160, 4084
161, 161, 4142
162, 162, 4004
163, 163, 4020
164, 164, 4103
165, 165, 4132
166, 166, 4099
167, 167, 4075
168, 168, 3980
169, 169, 4150
170, 170, 4047
171, 171, 4071
172, 172, 4077
173, 173, 4145
174, 174, 4111
175, 175, 4142
176, 176, 3995
177, 177, 4179
178, 178, 4145
179, 179, 3978
180, 180, 4180
181, 181, 4143
182, 182, 4064
183, 183, 4028
184, 184, 4022
185, 185, 4073
186, 186, 4035
187, 187, 3955
188, 188, 3931
189, 189, 3990
190, 190, 4076
191, 191, 3990
192, 192, 4074
193, 193, 3921
194, 194, 4137
195, 195, 4027
196, 196, 3907
197, 197, 4017
198, 198, 3976
199, 199, 3884
200, 200, 3957
201, 201, 3894
202, 202, 3929
203, 203, 3896
204, 204, 3898
205, 205, 3987
206, 206, 3869
207, 207, 3979
208, 208, 3892
209, 209, 3952
210, 210, 3817
211, 211, 3808
212, 212, 3910
213, 213, 3893
214, 214, 3734
215, 215, 3916
216, 216, 3759
217, 217, 3783
218, 218, 3840
219, 219, 3830
220, 220, 3829
221, 221, 3666
222, 222, 3591
223, 223, 3823
224, 224, 3735
225, 225, 3702
226, 226, 3775
227, 227, 3733
228, 228, 3748
229, 229, 3619
230, 230, 3683
231, 231, 3659
232, 232, 3701
233, 233, 3634
234, 234, 3509
235, 235, 3625
236, 236, 3623
237, 237, 3571
238, 238, 3639
239, 239, 3701
240, 240, 3718
241, 241, 3617
242, 242, 3607
243, 243, 3595
244, 244, 3586
245, 245, 3613
246, 246, 3660
247, 247, 3661
248, 248, 3563
249, 249, 3546
250, 250, 3494
251, 251, 3551
252, 252, 3547
253, 253, 3608
254, 254, 3532
255, 255, 3506
256, 256, 3639
257, 257, 3602
258, 258, 3502
259, 259, 3523
260, 260, 3542
261, 261, 3522
262, 262, 3437
263, 263, 3488
264, 264, 3475
265, 265, 3475
266, 266, 3444
267, 267, 3538
268, 268, 3450
269, 269, 3477
270, 270, 3460
271, 271, 3318
272, 272, 3449
273, 273, 3369
274, 274, 3368
275, 275, 3441
276, 276, 3492
277, 277, 3526
278, 278, 3407
279, 279, 3549
280, 280, 3437
281, 281, 3379
282, 282, 3341
283, 283, 3399
284, 284, 3500
285, 285, 3414
286, 286, 3443
287, 287, 3411
288, 288, 3307
289, 289, 3544
290, 290, 3423
291, 291, 3495
292, 292, 3436
293, 293, 3341
294, 294, 3402
295, 295, 3391
296, 296, 3472
297, 297, 3428
298, 298, 3417
299, 299, 3312
300, 300, 3459
301, 301, 3346
302, 302, 3437
303, 303, 3457
304, 304, 3447
305, 305, 3547
306, 306, 3442
307, 307, 3366
308, 308, 3333
309, 309, 3444
310, 310, 3418
311, 311, 3470
312, 312, 3425
313, 313, 3470
314, 314, 3427
315, 315, 3518
316, 316, 3380
317, 317, 3355
318, 318, 3353
319, 319, 3446
320, 320, 3387
321, 321, 3404
322, 322, 3433
323, 323, 3493
324, 324, 3429
325, 325, 3430
326, 326, 3474
327, 327, 3456
328, 328, 3430
329, 329, 3261
330, 330, 3390
331, 331, 3388
332, 332, 3386
333, 333, 3300
334, 334, 3347
335, 335, 3411
336, 336, 3400
337, 337, 3308
338, 338, 3359
339, 339, 3287
340, 340, 3279
341, 341, 3212
342, 342, 3218
343, 343, 3232
344, 344, 3206
345, 345, 3248
346, 346, 3208
347, 347, 3177
348, 348, 3146
349, 349, 3146
350, 350, 3141
351, 351, 3052
352, 352, 3168
353, 353, 3186
354, 354, 3077
355, 355, 3119
356, 356, 3184
357, 357, 3062
358, 358, 3118
359, 359, 3143
360, 360, 2986
361, 361, 3099
362, 362, 3128
363, 363, 2891
364, 364, 2973
365, 365, 2974
366, 366, 3040
367, 367, 2909
368, 368, 2879
369, 369, 2950
370, 370, 2956
371, 371, 2861
372, 372, 2936
373, 373, 2954
374, 374, 2889
375, 375, 2927
376, 376, 2963
377, 377, 3001
