Start Time, Tue Mar 3 16:27:20 GMT+0000 2026
Energy calibration,  Offset: 0, Slope: 1, Quadratic: 0
Live Time (s), 85199.382144
Real Time (s), 85208.571198
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 1, 0
2, 2, 0
3, 3, 0
4, 4, 0
5, 5, 0
6, 6, 0
7, 7, 0
8, 8, 0
9, 9, 0
10, 10, 779
11, 11, 750
12, 12, 730
13, 13, 675
14, 14, 635
15, 15, 637
16, 16, 648
17, 17, 637
18, 18, 636
19, 19, 658
20, 20, 605
21, 21, 618
22, 22, 673
23, 23, 636
24, 24, 717
25, 25, 678
26, 26, 679
27, 27, 703
28, 28, 658
29, 29, 712
30, 30, 688
31, 31, 654
32, 32, 663
33, 33, 671
34, 34, 682
35, 35, 624
36, 36, 693
37, 37, 650
38, 38, 639
39, 39, 635
40, 40, 695
41, 41, 645
42, 42, 710
43, 43, 711
44, 44, 697
45, 45, 748
46, 46, 663
47, 47, 741
48, 48, 724
49, 49, 711
50, 50, 710
51, 51, 741
52, 52, 728
53, 53, 723
54, 54, 725
55, 55, 720
56, 56, 755
57, 57, 760
58, 58, 738
59, 59, 732
60, 60, 818
61, 61, 850
62, 62, 845
63, 63, 904
64, 64, 893
65, 65, 980
66, 66, 1011
67, 67, 988
68, 68, 1043
69, 69, 1109
70, 70, 1108
71, 71, 1224
72, 72, 1124
73, 73, 1114
74, 74, 1178
75, 75, 1036
76, 76, 1018
77, 77, 973
78, 78, 972
79, 79, 901
80, 80, 899
81, 81, 929
82, 82, 957
83, 83, 912
84, 84, 929
85, 85, 887
86, 86, 923
87, 87, 995
88, 88, 945
89, 89, 1010
90, 90, 1014
91, 91, 1081
92, 92, 1075
93, 93, 1131
94, 94, 1084
95, 95, 1148
96, 96, 1162
97, 97, 1284
98, 98, 1338
99, 99, 1409
100, 100, 1472
101, 101, 1625
102, 102, 1750
103, 103, 1963
104, 104, 2149
105, 105, 2269
106, 106, 2411
107, 107, 2576
108, 108, 2713
109, 109, 2804
110, 110, 2870
111, 111, 2928
112, 112, 2939
113, 113, 3018
114, 114, 2976
115, 115, 2981
116, 116, 2857
117, 117, 2857
118, 118, 2655
119, 119, 2586
120, 120, 2436
121, 121, 2377
122, 122, 2310
123, 123, 2240
124, 124, 2219
125, 125, 2205
126, 126, 2076
127, 127, 2055
128, 128, 2145
129, 129, 1990
130, 130, 1922
131, 131, 1829
132, 132, 1854
133, 133, 1780
134, 134, 1688
135, 135, 1612
136, 136, 1602
137, 137, 1506
138, 138, 1558
139, 139, 1427
140, 140, 1360
141, 141, 1388
142, 142, 1311
143, 143, 1374
144, 144, 1356
145, 145, 1302
146, 146, 1365
147, 147, 1259
148, 148, 1311
149, 149, 1344
150, 150, 1315
151, 151, 1277
152, 152, 1251
153, 153, 1321
154, 154, 1315
155, 155, 1347
156, 156, 1281
157, 157, 1357
158, 158, 1296
159, 159, 1331
160, 160, 1238
161, 161, 1274
162, 162, 1286
163, 163, 1246
164, 164, 1253
165, 165, 1293
166, 166, 1301
167, 167, 1221
168, 168, 1345
169, 169, 1315
170, 170, 1324
171, 171, 1292
172, 172, 1294
173, 173, 1292
174, 174, 1291
175, 175, 1367
176, 176, 1283
177, 177, 1313
178, 178, 1316
179, 179, 1342
180, 180, 1288
181, 181, 1269
182, 182, 1297
183, 183, 1288
184, 184, 1293
185, 185, 1214
186, 186, 1225
187, 187, 1263
188, 188, 1297
189, 189, 1247
190, 190, 1234
191, 191, 1292
192, 192, 1266
193, 193, 1283
194, 194, 1299
195, 195, 1232
196, 196, 1162
197, 197, 1273
198, 198, 1235
199, 199, 1221
200, 200, 1217
201, 201, 1254
202, 202, 1217
203, 203, 1218
204, 204, 1257
205, 205, 1190
206, 206, 1189
207, 207, 1205
208, 208, 1258
209, 209, 1236
210, 210, 1197
211, 211, 1182
212, 212, 1206
213, 213, 1198
214, 214, 1288
215, 215, 1172
216, 216, 1237
217, 217, 1174
218, 218, 1195
219, 219, 1244
220, 220, 1196
221, 221, 1204
222, 222, 1067
223, 223, 1111
224, 224, 1176
225, 225, 1107
226, 226, 1249
227, 227, 1112
228, 228, 1128
229, 229, 1118
230, 230, 1124
231, 231, 1138
232, 232, 1126
233, 233, 1089
234, 234, 1062
235, 235, 1184
236, 236, 1127
237, 237, 1173
238, 238, 1114
239, 239, 1132
240, 240, 1127
241, 241, 1135
242, 242, 1125
243, 243, 1122
244, 244, 1083
245, 245, 1137
246, 246, 1133
247, 247, 1112
248, 248, 1141
249, 249, 1108
250, 250, 1174
251, 251, 1083
252, 252, 1083
253, 253, 1111
254, 254, 1104
255, 255, 1064
256, 256, 1047
257, 257, 1096
258, 258, 1094
259, 259, 1099
260, 260, 1059
261, 261, 1110
262, 262, 1110
263, 263, 1071
264, 264, 1056
265, 265, 1065
266, 266, 1043
267, 267, 1004
268, 268, 1027
269, 269, 1027
270, 270, 1028
271, 271, 1028
272, 272, 1104
273, 273, 1037
274, 274, 1037
275, 275, 1028
276, 276, 1080
277, 277, 1056
278, 278, 1057
279, 279, 1044
280, 280, 1101
281, 281, 998
282, 282, 1070
283, 283, 966
284, 284, 1070
285, 285, 1121
286, 286, 1088
287, 287, 964
288, 288, 996
289, 289, 1082
290, 290, 1061
291, 291, 995
292, 292, 1026
293, 293, 1015
294, 294, 1024
295, 295, 1003
296, 296, 1015
297, 297, 1072
298, 298, 1058
299, 299, 1021
300, 300, 995
301, 301, 995
302, 302, 1030
303, 303, 1005
304, 304, 1020
305, 305, 958
306, 306, 1067
307, 307, 1005
308, 308, 1088
309, 309, 1034
310, 310, 1014
311, 311, 1034
312, 312, 1092
313, 313, 1034
314, 314, 1023
315, 315, 982
316, 316, 1043
317, 317, 1055
318, 318, 1017
319, 319, 1001
320, 320, 1034
321, 321, 1052
322, 322, 1042
323, 323, 1070
324, 324, 1030
325, 325, 1043
326, 326, 971
327, 327, 1036
328, 328, 995
329, 329, 971
330, 330, 986
331, 331, 1058
332, 332, 1005
333, 333, 987
334, 334, 1014
335, 335, 1008
336, 336, 981
337, 337, 979
338, 338, 997
339, 339, 975
340, 340, 982
341, 341, 908
342, 342, 1001
343, 343, 952
344, 344, 982
345, 345, 922
346, 346, 925
347, 347, 927
348, 348, 958
349, 349, 957
350, 350, 923
351, 351, 915
352, 352, 957
353, 353, 912
354, 354, 913
355, 355, 881
356, 356, 862
357, 357, 893
358, 358, 873
359, 359, 911
360, 360, 943
361, 361, 874
362, 362, 850
363, 363, 903
364, 364, 892
365, 365, 887
366, 366, 874
367, 367, 880
368, 368, 869
369, 369, 841
370, 370, 878
371, 371, 869
372, 372, 866
373, 373, 866
374, 374, 870
375, 375, 831
376, 376, 873
377, 377, 824
378, 378, 880
379, 379, 855
380, 380, 868
381, 381, 837
382, 382, 859
383, 383, 826
384, 384, 839
385, 385, 903
386, 386, 798
387, 387, 821
388, 388, 899
389, 389, 791
390, 390, 889
391, 391, 871
392, 392, 812
