Start Time, Thu Mar 5 14:39:04 GMT+0000 2026
Energy calibration,  Offset: 0, Slope: 1, Quadratic: 0
Live Time (s), 76990.224334
Real Time (s), 76999.889599
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 1, 0
2, 2, 0
3, 3, 0
4, 4, 0
5, 5, 0
6, 6, 0
7, 7, 0
8, 8, 0
9, 9, 0
10, 10, 794
11, 11, 711
12, 12, 710
13, 13, 706
14, 14, 673
15, 15, 639
16, 16, 641
17, 17, 713
18, 18, 634
19, 19, 644
20, 20, 673
21, 21, 703
22, 22, 715
23, 23, 671
24, 24, 670
25, 25, 715
26, 26, 747
27, 27, 729
28, 28, 698
29, 29, 705
30, 30, 740
31, 31, 703
32, 32, 693
33, 33, 713
34, 34, 671
35, 35, 702
36, 36, 650
37, 37, 668
38, 38, 672
39, 39, 685
40, 40, 731
41, 41, 697
42, 42, 755
43, 43, 781
44, 44, 715
45, 45, 752
46, 46, 781
47, 47, 731
48, 48, 725
49, 49, 747
50, 50, 729
51, 51, 700
52, 52, 753
53, 53, 706
54, 54, 738
55, 55, 752
56, 56, 742
57, 57, 776
58, 58, 766
59, 59, 791
60, 60, 786
61, 61, 826
62, 62, 926
63, 63, 924
64, 64, 929
65, 65, 1006
66, 66, 1051
67, 67, 1098
68, 68, 1107
69, 69, 1124
70, 70, 1164
71, 71, 1157
72, 72, 1176
73, 73, 1190
74, 74, 1106
75, 75, 1087
76, 76, 1070
77, 77, 1083
78, 78, 1000
79, 79, 1017
80, 80, 979
81, 81, 999
82, 82, 966
83, 83, 1013
84, 84, 1027
85, 85, 933
86, 86, 931
87, 87, 973
88, 88, 997
89, 89, 1063
90, 90, 1049
91, 91, 1090
92, 92, 1060
93, 93, 1116
94, 94, 1136
95, 95, 1142
96, 96, 1216
97, 97, 1309
98, 98, 1395
99, 99, 1415
100, 100, 1503
101, 101, 1639
102, 102, 1744
103, 103, 1951
104, 104, 2099
105, 105, 2265
106, 106, 2492
107, 107, 2554
108, 108, 2749
109, 109, 2978
110, 110, 3013
111, 111, 3013
112, 112, 3143
113, 113, 3034
114, 114, 2963
115, 115, 3065
116, 116, 2916
117, 117, 2764
118, 118, 2752
119, 119, 2678
120, 120, 2622
121, 121, 2377
122, 122, 2476
123, 123, 2304
124, 124, 2275
125, 125, 2266
126, 126, 2142
127, 127, 2181
128, 128, 2037
129, 129, 2067
130, 130, 1958
131, 131, 1841
132, 132, 1824
133, 133, 1764
134, 134, 1658
135, 135, 1661
136, 136, 1541
137, 137, 1559
138, 138, 1505
139, 139, 1505
140, 140, 1405
141, 141, 1381
142, 142, 1344
143, 143, 1304
144, 144, 1303
145, 145, 1338
146, 146, 1331
147, 147, 1236
148, 148, 1219
149, 149, 1256
150, 150, 1298
151, 151, 1289
152, 152, 1248
153, 153, 1251
154, 154, 1260
155, 155, 1290
156, 156, 1326
157, 157, 1263
158, 158, 1333
159, 159, 1300
160, 160, 1264
161, 161, 1317
162, 162, 1287
163, 163, 1254
164, 164, 1272
165, 165, 1246
166, 166, 1275
167, 167, 1196
168, 168, 1258
169, 169, 1297
170, 170, 1311
171, 171, 1233
172, 172, 1247
173, 173, 1228
174, 174, 1247
175, 175, 1311
176, 176, 1244
177, 177, 1265
178, 178, 1258
179, 179, 1267
180, 180, 1305
181, 181, 1221
182, 182, 1343
183, 183, 1306
184, 184, 1333
185, 185, 1280
186, 186, 1194
187, 187, 1267
188, 188, 1267
189, 189, 1243
190, 190, 1293
191, 191, 1280
192, 192, 1245
193, 193, 1281
194, 194, 1232
195, 195, 1272
196, 196, 1248
197, 197, 1284
198, 198, 1234
199, 199, 1205
200, 200, 1226
201, 201, 1184
202, 202, 1233
203, 203, 1197
204, 204, 1178
205, 205, 1206
206, 206, 1232
207, 207, 1240
208, 208, 1235
209, 209, 1216
210, 210, 1175
211, 211, 1143
212, 212, 1229
213, 213, 1144
214, 214, 1244
215, 215, 1235
216, 216, 1231
217, 217, 1198
218, 218, 1146
219, 219, 1250
220, 220, 1213
221, 221, 1203
222, 222, 1157
223, 223, 1120
224, 224, 1164
225, 225, 1175
226, 226, 1118
227, 227, 1227
228, 228, 1087
229, 229, 1086
230, 230, 1135
231, 231, 1170
232, 232, 1170
233, 233, 1161
234, 234, 1130
235, 235, 1136
236, 236, 1108
237, 237, 1126
238, 238, 1171
239, 239, 1122
240, 240, 1157
241, 241, 1113
242, 242, 1064
243, 243, 1084
244, 244, 1121
245, 245, 1086
246, 246, 1129
247, 247, 1155
248, 248, 1184
249, 249, 1068
250, 250, 1091
251, 251, 1101
252, 252, 1064
253, 253, 1091
254, 254, 1047
255, 255, 1095
256, 256, 1069
257, 257, 1075
258, 258, 1096
259, 259, 1053
260, 260, 1110
261, 261, 1091
262, 262, 1119
263, 263, 1090
264, 264, 1027
265, 265, 1096
266, 266, 1099
267, 267, 1103
268, 268, 1094
269, 269, 1039
270, 270, 1054
271, 271, 1101
272, 272, 1079
273, 273, 1129
274, 274, 1010
275, 275, 1051
276, 276, 1092
277, 277, 1054
278, 278, 1053
279, 279, 1091
280, 280, 1089
281, 281, 1040
282, 282, 1047
283, 283, 1069
284, 284, 1015
285, 285, 1072
286, 286, 1046
287, 287, 1070
288, 288, 1100
289, 289, 1103
290, 290, 1064
291, 291, 1123
292, 292, 1041
293, 293, 1102
294, 294, 1039
295, 295, 1104
296, 296, 1142
297, 297, 1077
298, 298, 1108
299, 299, 1081
300, 300, 1115
301, 301, 1135
302, 302, 1076
303, 303, 1075
304, 304, 1111
305, 305, 1070
306, 306, 1069
307, 307, 1090
308, 308, 1084
309, 309, 1127
310, 310, 1104
311, 311, 1085
312, 312, 1083
313, 313, 1121
314, 314, 1086
315, 315, 1096
316, 316, 1050
317, 317, 1072
318, 318, 1092
319, 319, 1076
320, 320, 1069
321, 321, 1047
322, 322, 1002
323, 323, 1085
324, 324, 1104
325, 325, 1088
326, 326, 1046
327, 327, 1093
328, 328, 1123
329, 329, 1050
330, 330, 1047
331, 331, 1083
332, 332, 1055
333, 333, 1062
334, 334, 1061
335, 335, 1060
336, 336, 1015
337, 337, 1039
338, 338, 1052
339, 339, 1054
340, 340, 1002
341, 341, 1062
342, 342, 1011
343, 343, 1077
344, 344, 991
345, 345, 969
346, 346, 1027
347, 347, 1039
348, 348, 1025
349, 349, 991
350, 350, 934
351, 351, 1043
352, 352, 919
353, 353, 979
354, 354, 1014
355, 355, 1033
356, 356, 948
357, 357, 967
358, 358, 964
359, 359, 938
360, 360, 991
361, 361, 896
362, 362, 931
363, 363, 916
364, 364, 955
365, 365, 918
366, 366, 881
367, 367, 923
368, 368, 913
369, 369, 979
370, 370, 890
371, 371, 886
372, 372, 924
373, 373, 895
374, 374, 910
375, 375, 890
376, 376, 906
377, 377, 944
378, 378, 891
379, 379, 902
380, 380, 875
381, 381, 897
382, 382, 912
383, 383, 938
384, 384, 879
385, 385, 932
386, 386, 880
387, 387, 943
388, 388, 869
