Start Time, Mon Feb 23 13:49:17 GMT+0000 2026
Energy calibration,  Offset: 0, Slope: 1, Quadratic: 0
Live Time (s), 271945.569719
Real Time (s), 271983.791289
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 1, 0
2, 2, 0
3, 3, 0
4, 4, 0
5, 5, 0
6, 6, 0
7, 7, 0
8, 8, 0
9, 9, 0
10, 10, 3021
11, 11, 2983
12, 12, 2781
13, 13, 2654
14, 14, 2637
15, 15, 2631
16, 16, 2575
17, 17, 2564
18, 18, 2582
19, 19, 2641
20, 20, 2636
21, 21, 2675
22, 22, 2673
23, 23, 2853
24, 24, 2812
25, 25, 2657
26, 26, 2713
27, 27, 2889
28, 28, 2908
29, 29, 2839
30, 30, 2906
31, 31, 2810
32, 32, 2744
33, 33, 2694
34, 34, 2709
35, 35, 2642
36, 36, 2671
37, 37, 2735
38, 38, 2790
39, 39, 2874
40, 40, 2846
41, 41, 2917
42, 42, 2979
43, 43, 3087
44, 44, 3181
45, 45, 3065
46, 46, 3124
47, 47, 3109
48, 48, 3061
49, 49, 3192
50, 50, 3089
51, 51, 3033
52, 52, 2977
53, 53, 3086
54, 54, 3049
55, 55, 3162
56, 56, 2997
57, 57, 3115
58, 58, 3131
59, 59, 3304
60, 60, 3247
61, 61, 3329
62, 62, 3435
63, 63, 3620
64, 64, 3702
65, 65, 3863
66, 66, 4024
67, 67, 4165
68, 68, 4263
69, 69, 4575
70, 70, 4569
71, 71, 4531
72, 72, 4580
73, 73, 4600
74, 74, 4552
75, 75, 4273
76, 76, 4328
77, 77, 4111
78, 78, 4045
79, 79, 3931
80, 80, 3965
81, 81, 3833
82, 82, 3840
83, 83, 3810
84, 84, 3977
85, 85, 4020
86, 86, 4041
87, 87, 3966
88, 88, 4000
89, 89, 4242
90, 90, 4252
91, 91, 4281
92, 92, 4360
93, 93, 4501
94, 94, 4496
95, 95, 4744
96, 96, 4807
97, 97, 5029
98, 98, 5376
99, 99, 5578
100, 100, 5922
101, 101, 6566
102, 102, 6949
103, 103, 7277
104, 104, 7846
105, 105, 8488
106, 106, 9100
107, 107, 9926
108, 108, 10365
109, 109, 11031
110, 110, 11401
111, 111, 11598
112, 112, 11867
113, 113, 12166
114, 114, 11974
115, 115, 11550
116, 116, 11521
117, 117, 11115
118, 118, 10724
119, 119, 10255
120, 120, 10140
121, 121, 9561
122, 122, 9469
123, 123, 9110
124, 124, 8918
125, 125, 8710
126, 126, 8741
127, 127, 8407
128, 128, 8094
129, 129, 7880
130, 130, 7736
131, 131, 7761
132, 132, 7267
133, 133, 7145
134, 134, 6942
135, 135, 6779
136, 136, 6513
137, 137, 6342
138, 138, 6034
139, 139, 5965
140, 140, 5950
141, 141, 5600
142, 142, 5446
143, 143, 5488
144, 144, 5516
145, 145, 5395
146, 146, 5435
147, 147, 5368
148, 148, 5254
149, 149, 5241
150, 150, 5365
151, 151, 5318
152, 152, 5345
153, 153, 5350
154, 154, 5352
155, 155, 5209
156, 156, 5299
157, 157, 5136
158, 158, 5345
159, 159, 5304
160, 160, 5389
161, 161, 5294
162, 162, 5300
163, 163, 5330
164, 164, 5310
165, 165, 5412
166, 166, 5499
167, 167, 5256
168, 168, 5342
169, 169, 5283
170, 170, 5334
171, 171, 5353
172, 172, 5229
173, 173, 5341
174, 174, 5229
175, 175, 5368
176, 176, 5476
177, 177, 5183
178, 178, 5322
179, 179, 5244
180, 180, 5330
181, 181, 5318
182, 182, 5222
183, 183, 5306
184, 184, 5309
185, 185, 5229
186, 186, 5307
187, 187, 5304
188, 188, 5318
189, 189, 5289
190, 190, 5442
191, 191, 5300
192, 192, 5332
193, 193, 5174
194, 194, 5303
195, 195, 5294
196, 196, 5290
197, 197, 5228
198, 198, 5335
199, 199, 5169
200, 200, 5249
201, 201, 5234
202, 202, 5296
203, 203, 5220
204, 204, 5287
205, 205, 5266
206, 206, 5263
207, 207, 5156
208, 208, 5232
209, 209, 5184
210, 210, 5057
211, 211, 5082
212, 212, 5195
213, 213, 5123
214, 214, 5028
215, 215, 5037
216, 216, 5129
217, 217, 5149
218, 218, 5066
219, 219, 5024
220, 220, 4899
221, 221, 5115
222, 222, 4958
223, 223, 5053
224, 224, 5059
225, 225, 4950
226, 226, 4920
227, 227, 4824
228, 228, 4902
229, 229, 4854
230, 230, 4811
231, 231, 4831
232, 232, 4865
233, 233, 4848
234, 234, 4869
235, 235, 4782
236, 236, 4880
237, 237, 4659
238, 238, 4708
239, 239, 4778
240, 240, 4821
241, 241, 4704
242, 242, 4682
243, 243, 4666
244, 244, 4623
245, 245, 4801
246, 246, 4633
247, 247, 4723
248, 248, 4696
249, 249, 4698
250, 250, 4579
251, 251, 4695
252, 252, 4648
253, 253, 4744
254, 254, 4672
255, 255, 4698
256, 256, 4550
257, 257, 4580
258, 258, 4556
259, 259, 4585
260, 260, 4606
261, 261, 4610
262, 262, 4387
263, 263, 4548
264, 264, 4496
265, 265, 4640
266, 266, 4488
267, 267, 4477
268, 268, 4507
269, 269, 4664
270, 270, 4436
271, 271, 4498
272, 272, 4600
273, 273, 4594
274, 274, 4505
275, 275, 4545
276, 276, 4590
277, 277, 4592
278, 278, 4538
279, 279, 4424
280, 280, 4528
281, 281, 4574
282, 282, 4498
283, 283, 4610
284, 284, 4614
285, 285, 4524
286, 286, 4538
287, 287, 4668
288, 288, 4738
289, 289, 4552
290, 290, 4727
291, 291, 4686
292, 292, 4855
293, 293, 4621
294, 294, 4829
295, 295, 4688
296, 296, 4877
297, 297, 4760
298, 298, 4821
299, 299, 4855
300, 300, 4735
301, 301, 4758
302, 302, 4793
303, 303, 4790
304, 304, 4854
305, 305, 4845
306, 306, 4897
307, 307, 4946
308, 308, 4881
309, 309, 4934
310, 310, 4863
311, 311, 4802
312, 312, 4848
313, 313, 4837
314, 314, 4953
315, 315, 4862
316, 316, 4931
317, 317, 4995
318, 318, 4993
319, 319, 4948
320, 320, 4980
321, 321, 4956
322, 322, 4972
323, 323, 5100
324, 324, 4882
325, 325, 4924
326, 326, 4901
327, 327, 4826
328, 328, 4737
329, 329, 4852
330, 330, 4964
331, 331, 4851
332, 332, 4966
333, 333, 4731
334, 334, 4664
335, 335, 4677
336, 336, 4750
337, 337, 4797
338, 338, 4777
339, 339, 4699
340, 340, 4621
341, 341, 4586
342, 342, 4465
343, 343, 4487
344, 344, 4505
345, 345, 4544
346, 346, 4383
347, 347, 4349
348, 348, 4364
349, 349, 4321
350, 350, 4511
351, 351, 4274
352, 352, 4312
353, 353, 4192
354, 354, 4188
355, 355, 4329
356, 356, 4016
357, 357, 4237
358, 358, 4146
359, 359, 4145
360, 360, 4034
361, 361, 4059
362, 362, 3985
363, 363, 3932
364, 364, 4038
365, 365, 3965
366, 366, 3941
367, 367, 3947
368, 368, 3911
369, 369, 3844
370, 370, 3962
371, 371, 3871
372, 372, 3873
373, 373, 3941
374, 374, 3846
375, 375, 3900
376, 376, 3799
377, 377, 3799
