Start Time, Mon Mar 2 16:45:32 GMT+0000 2026
Energy calibration,  Offset: 0, Slope: 1, Quadratic: 0
Live Time (s), 83892.401087
Real Time (s), 83902.374431
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 1, 0
2, 2, 0
3, 3, 0
4, 4, 0
5, 5, 0
6, 6, 0
7, 7, 0
8, 8, 0
9, 9, 0
10, 10, 805
11, 11, 742
12, 12, 740
13, 13, 699
14, 14, 704
15, 15, 645
16, 16, 644
17, 17, 645
18, 18, 690
19, 19, 689
20, 20, 686
21, 21, 668
22, 22, 714
23, 23, 715
24, 24, 730
25, 25, 699
26, 26, 710
27, 27, 713
28, 28, 711
29, 29, 656
30, 30, 719
31, 31, 738
32, 32, 667
33, 33, 730
34, 34, 666
35, 35, 669
36, 36, 675
37, 37, 674
38, 38, 645
39, 39, 687
40, 40, 703
41, 41, 764
42, 42, 740
43, 43, 734
44, 44, 744
45, 45, 720
46, 46, 748
47, 47, 755
48, 48, 806
49, 49, 717
50, 50, 773
51, 51, 706
52, 52, 761
53, 53, 732
54, 54, 773
55, 55, 769
56, 56, 761
57, 57, 757
58, 58, 774
59, 59, 739
60, 60, 826
61, 61, 865
62, 62, 894
63, 63, 902
64, 64, 963
65, 65, 948
66, 66, 1056
67, 67, 1066
68, 68, 1161
69, 69, 1181
70, 70, 1147
71, 71, 1203
72, 72, 1123
73, 73, 1164
74, 74, 1204
75, 75, 1101
76, 76, 1062
77, 77, 1017
78, 78, 961
79, 79, 1010
80, 80, 983
81, 81, 967
82, 82, 942
83, 83, 966
84, 84, 956
85, 85, 967
86, 86, 1000
87, 87, 978
88, 88, 988
89, 89, 1011
90, 90, 1044
91, 91, 1090
92, 92, 1113
93, 93, 1066
94, 94, 1111
95, 95, 1208
96, 96, 1266
97, 97, 1326
98, 98, 1345
99, 99, 1405
100, 100, 1571
101, 101, 1678
102, 102, 1794
103, 103, 1927
104, 104, 2064
105, 105, 2177
106, 106, 2334
107, 107, 2639
108, 108, 2737
109, 109, 2864
110, 110, 2986
111, 111, 3153
112, 112, 3103
113, 113, 3118
114, 114, 3199
115, 115, 3070
116, 116, 3027
117, 117, 2888
118, 118, 2829
119, 119, 2641
120, 120, 2704
121, 121, 2551
122, 122, 2500
123, 123, 2476
124, 124, 2368
125, 125, 2259
126, 126, 2249
127, 127, 2188
128, 128, 2168
129, 129, 2028
130, 130, 2055
131, 131, 1978
132, 132, 1862
133, 133, 1800
134, 134, 1789
135, 135, 1641
136, 136, 1706
137, 137, 1582
138, 138, 1553
139, 139, 1436
140, 140, 1475
141, 141, 1444
142, 142, 1429
143, 143, 1430
144, 144, 1436
145, 145, 1347
146, 146, 1357
147, 147, 1345
148, 148, 1319
149, 149, 1346
150, 150, 1307
151, 151, 1309
152, 152, 1294
153, 153, 1304
154, 154, 1318
155, 155, 1271
156, 156, 1401
157, 157, 1339
158, 158, 1325
159, 159, 1326
160, 160, 1366
161, 161, 1302
162, 162, 1327
163, 163, 1358
164, 164, 1349
165, 165, 1359
166, 166, 1297
167, 167, 1302
168, 168, 1306
169, 169, 1292
170, 170, 1291
171, 171, 1353
172, 172, 1296
173, 173, 1316
174, 174, 1366
175, 175, 1293
176, 176, 1341
177, 177, 1326
178, 178, 1312
179, 179, 1288
180, 180, 1282
181, 181, 1292
182, 182, 1320
183, 183, 1248
184, 184, 1260
185, 185, 1319
186, 186, 1296
187, 187, 1293
188, 188, 1322
189, 189, 1326
190, 190, 1233
191, 191, 1284
192, 192, 1293
193, 193, 1304
194, 194, 1260
195, 195, 1280
196, 196, 1254
197, 197, 1320
198, 198, 1283
199, 199, 1358
200, 200, 1253
201, 201, 1280
202, 202, 1285
203, 203, 1308
204, 204, 1240
205, 205, 1248
206, 206, 1266
207, 207, 1260
208, 208, 1216
209, 209, 1250
210, 210, 1227
211, 211, 1170
212, 212, 1249
213, 213, 1222
214, 214, 1250
215, 215, 1229
216, 216, 1281
217, 217, 1239
218, 218, 1208
219, 219, 1205
220, 220, 1266
221, 221, 1317
222, 222, 1162
223, 223, 1263
224, 224, 1192
225, 225, 1232
226, 226, 1125
227, 227, 1190
228, 228, 1243
229, 229, 1144
230, 230, 1221
231, 231, 1224
232, 232, 1079
233, 233, 1208
234, 234, 1176
235, 235, 1184
236, 236, 1199
237, 237, 1208
238, 238, 1184
239, 239, 1146
240, 240, 1149
241, 241, 1186
242, 242, 1202
243, 243, 1177
244, 244, 1145
245, 245, 1142
246, 246, 1181
247, 247, 1146
248, 248, 1188
249, 249, 1045
250, 250, 1107
251, 251, 1111
252, 252, 1113
253, 253, 1111
254, 254, 1091
255, 255, 1080
256, 256, 1153
257, 257, 1123
258, 258, 1046
259, 259, 1136
260, 260, 1090
261, 261, 1142
262, 262, 1105
263, 263, 1147
264, 264, 1041
265, 265, 1102
266, 266, 1144
267, 267, 1104
268, 268, 1080
269, 269, 1111
270, 270, 1087
271, 271, 1050
272, 272, 1135
273, 273, 1143
274, 274, 1070
275, 275, 1115
276, 276, 1050
277, 277, 1067
278, 278, 1103
279, 279, 1114
280, 280, 1090
281, 281, 1032
282, 282, 1107
283, 283, 1062
284, 284, 1103
285, 285, 1079
286, 286, 1134
287, 287, 1076
288, 288, 1091
289, 289, 1096
290, 290, 1076
291, 291, 1110
292, 292, 1090
293, 293, 1071
294, 294, 1061
295, 295, 1088
296, 296, 1077
297, 297, 1106
298, 298, 1049
299, 299, 1099
300, 300, 1023
301, 301, 1050
302, 302, 1067
303, 303, 1054
304, 304, 1095
305, 305, 1038
306, 306, 1052
307, 307, 1115
308, 308, 1081
309, 309, 1099
310, 310, 1039
311, 311, 1069
312, 312, 1082
313, 313, 990
314, 314, 1013
315, 315, 1080
316, 316, 1043
317, 317, 1112
318, 318, 1063
319, 319, 1052
320, 320, 1046
321, 321, 1077
322, 322, 1081
323, 323, 1087
324, 324, 1091
325, 325, 1028
326, 326, 1096
327, 327, 1084
328, 328, 1018
329, 329, 1060
330, 330, 1071
331, 331, 1064
332, 332, 1058
333, 333, 1054
334, 334, 1045
335, 335, 1028
336, 336, 1075
337, 337, 1090
338, 338, 1028
339, 339, 1043
340, 340, 981
341, 341, 1032
342, 342, 1008
343, 343, 1024
344, 344, 1035
345, 345, 1061
346, 346, 969
347, 347, 974
348, 348, 1035
349, 349, 963
350, 350, 994
351, 351, 1005
352, 352, 964
353, 353, 970
354, 354, 953
355, 355, 955
356, 356, 934
357, 357, 1015
358, 358, 936
359, 359, 928
360, 360, 941
361, 361, 918
362, 362, 941
363, 363, 934
364, 364, 873
365, 365, 873
366, 366, 941
367, 367, 912
368, 368, 914
369, 369, 933
370, 370, 912
371, 371, 961
372, 372, 917
373, 373, 940
374, 374, 921
375, 375, 937
376, 376, 889
377, 377, 938
378, 378, 938
379, 379, 912
380, 380, 922
381, 381, 885
382, 382, 854
383, 383, 922
384, 384, 891
385, 385, 899
386, 386, 936
387, 387, 893
388, 388, 863
389, 389, 893
