Start Time, Wed Mar 4 16:11:53 GMT+0000 2026
Energy calibration,  Offset: 0, Slope: 1, Quadratic: 0
Live Time (s), 80648.034719
Real Time (s), 80657.664186
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 1, 0
2, 2, 0
3, 3, 0
4, 4, 0
5, 5, 0
6, 6, 0
7, 7, 0
8, 8, 0
9, 9, 0
10, 10, 784
11, 11, 792
12, 12, 698
13, 13, 638
14, 14, 670
15, 15, 623
16, 16, 637
17, 17, 618
18, 18, 637
19, 19, 698
20, 20, 667
21, 21, 702
22, 22, 668
23, 23, 655
24, 24, 660
25, 25, 643
26, 26, 705
27, 27, 713
28, 28, 763
29, 29, 666
30, 30, 654
31, 31, 692
32, 32, 691
33, 33, 641
34, 34, 666
35, 35, 623
36, 36, 643
37, 37, 679
38, 38, 661
39, 39, 720
40, 40, 701
41, 41, 687
42, 42, 698
43, 43, 666
44, 44, 753
45, 45, 753
46, 46, 781
47, 47, 741
48, 48, 671
49, 49, 670
50, 50, 718
51, 51, 757
52, 52, 717
53, 53, 722
54, 54, 754
55, 55, 782
56, 56, 726
57, 57, 742
58, 58, 785
59, 59, 751
60, 60, 802
61, 61, 820
62, 62, 863
63, 63, 889
64, 64, 909
65, 65, 946
66, 66, 1010
67, 67, 1036
68, 68, 1075
69, 69, 1112
70, 70, 1164
71, 71, 1176
72, 72, 1088
73, 73, 1145
74, 74, 1133
75, 75, 1106
76, 76, 991
77, 77, 1006
78, 78, 1014
79, 79, 975
80, 80, 960
81, 81, 945
82, 82, 927
83, 83, 961
84, 84, 935
85, 85, 962
86, 86, 1009
87, 87, 1005
88, 88, 1015
89, 89, 1016
90, 90, 1048
91, 91, 1103
92, 92, 1040
93, 93, 1080
94, 94, 1098
95, 95, 1152
96, 96, 1204
97, 97, 1276
98, 98, 1314
99, 99, 1464
100, 100, 1525
101, 101, 1614
102, 102, 1751
103, 103, 1855
104, 104, 1989
105, 105, 2212
106, 106, 2372
107, 107, 2497
108, 108, 2666
109, 109, 2828
110, 110, 2926
111, 111, 3019
112, 112, 3038
113, 113, 3099
114, 114, 2960
115, 115, 2997
116, 116, 2941
117, 117, 2777
118, 118, 2740
119, 119, 2563
120, 120, 2525
121, 121, 2447
122, 122, 2432
123, 123, 2368
124, 124, 2223
125, 125, 2179
126, 126, 2132
127, 127, 2163
128, 128, 2081
129, 129, 1967
130, 130, 1928
131, 131, 1886
132, 132, 1899
133, 133, 1807
134, 134, 1650
135, 135, 1593
136, 136, 1547
137, 137, 1527
138, 138, 1446
139, 139, 1398
140, 140, 1416
141, 141, 1422
142, 142, 1384
143, 143, 1327
144, 144, 1295
145, 145, 1353
146, 146, 1316
147, 147, 1340
148, 148, 1295
149, 149, 1314
150, 150, 1279
151, 151, 1282
152, 152, 1342
153, 153, 1278
154, 154, 1311
155, 155, 1274
156, 156, 1293
157, 157, 1242
158, 158, 1248
159, 159, 1340
160, 160, 1295
161, 161, 1330
162, 162, 1260
163, 163, 1319
164, 164, 1295
165, 165, 1243
166, 166, 1285
167, 167, 1256
168, 168, 1281
169, 169, 1288
170, 170, 1287
171, 171, 1303
172, 172, 1304
173, 173, 1288
174, 174, 1261
175, 175, 1286
176, 176, 1283
177, 177, 1268
178, 178, 1356
179, 179, 1270
180, 180, 1222
181, 181, 1229
182, 182, 1277
183, 183, 1210
184, 184, 1185
185, 185, 1261
186, 186, 1276
187, 187, 1289
188, 188, 1320
189, 189, 1242
190, 190, 1281
191, 191, 1229
192, 192, 1300
193, 193, 1253
194, 194, 1293
195, 195, 1296
196, 196, 1237
197, 197, 1247
198, 198, 1231
199, 199, 1202
200, 200, 1196
201, 201, 1215
202, 202, 1239
203, 203, 1250
204, 204, 1230
205, 205, 1243
206, 206, 1242
207, 207, 1221
208, 208, 1202
209, 209, 1241
210, 210, 1222
211, 211, 1220
212, 212, 1234
213, 213, 1240
214, 214, 1160
215, 215, 1125
216, 216, 1228
217, 217, 1216
218, 218, 1211
219, 219, 1164
220, 220, 1143
221, 221, 1215
222, 222, 1199
223, 223, 1137
224, 224, 1147
225, 225, 1212
226, 226, 1196
227, 227, 1198
228, 228, 1175
229, 229, 1166
230, 230, 1134
231, 231, 1100
232, 232, 1161
233, 233, 1164
234, 234, 1129
235, 235, 1145
236, 236, 1126
237, 237, 1101
238, 238, 1124
239, 239, 1115
240, 240, 1157
241, 241, 1149
242, 242, 1089
243, 243, 1116
244, 244, 1104
245, 245, 1121
246, 246, 1079
247, 247, 1103
248, 248, 1133
249, 249, 1094
250, 250, 1071
251, 251, 1088
252, 252, 1116
253, 253, 1065
254, 254, 1027
255, 255, 1066
256, 256, 1055
257, 257, 1104
258, 258, 1107
259, 259, 1087
260, 260, 1148
261, 261, 1100
262, 262, 1002
263, 263, 1153
264, 264, 1012
265, 265, 1054
266, 266, 1068
267, 267, 1041
268, 268, 1072
269, 269, 1134
270, 270, 1071
271, 271, 1109
272, 272, 1114
273, 273, 1086
274, 274, 1050
275, 275, 1052
276, 276, 1078
277, 277, 1005
278, 278, 1111
279, 279, 1062
280, 280, 1047
281, 281, 1062
282, 282, 1057
283, 283, 1040
284, 284, 1045
285, 285, 1100
286, 286, 1091
287, 287, 1049
288, 288, 1077
289, 289, 1082
290, 290, 1061
291, 291, 1112
292, 292, 1000
293, 293, 1070
294, 294, 1022
295, 295, 1078
296, 296, 1058
297, 297, 1120
298, 298, 1059
299, 299, 1026
300, 300, 1141
301, 301, 1014
302, 302, 1035
303, 303, 1030
304, 304, 1041
305, 305, 1026
306, 306, 1075
307, 307, 1025
308, 308, 1065
309, 309, 1086
310, 310, 1056
311, 311, 1064
312, 312, 1050
313, 313, 1060
314, 314, 1073
315, 315, 1042
316, 316, 992
317, 317, 1047
318, 318, 1082
319, 319, 1057
320, 320, 1054
321, 321, 1119
322, 322, 1079
323, 323, 1029
324, 324, 1098
325, 325, 1059
326, 326, 997
327, 327, 1057
328, 328, 1034
329, 329, 1029
330, 330, 1019
331, 331, 1026
332, 332, 1010
333, 333, 1038
334, 334, 1068
335, 335, 1056
336, 336, 1053
337, 337, 998
338, 338, 1033
339, 339, 981
340, 340, 988
341, 341, 991
342, 342, 1046
343, 343, 973
344, 344, 1014
345, 345, 998
346, 346, 919
347, 347, 1026
348, 348, 961
349, 349, 991
350, 350, 951
351, 351, 951
352, 352, 916
353, 353, 918
354, 354, 905
355, 355, 938
356, 356, 962
357, 357, 918
358, 358, 946
359, 359, 940
360, 360, 933
361, 361, 988
362, 362, 907
363, 363, 945
364, 364, 906
365, 365, 997
366, 366, 892
367, 367, 905
368, 368, 933
369, 369, 867
370, 370, 888
371, 371, 885
372, 372, 864
373, 373, 867
374, 374, 909
375, 375, 873
376, 376, 886
377, 377, 888
378, 378, 889
379, 379, 936
380, 380, 902
381, 381, 826
382, 382, 881
383, 383, 900
384, 384, 855
385, 385, 892
386, 386, 922
387, 387, 886
388, 388, 888
389, 389, 879
