Start Time, Tue Feb 17 17:33:07 GMT+0000 2026
Energy calibration,  Offset: 0, Slope: 1, Quadratic: 0
Live Time (s), 337267.986639
Real Time (s), 337289.391285
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 1, 0
2, 2, 0
3, 3, 0
4, 4, 0
5, 5, 0
6, 6, 0
7, 7, 0
8, 8, 0
9, 9, 0
10, 10, 1893
11, 11, 1746
12, 12, 1501
13, 13, 1436
14, 14, 1364
15, 15, 1289
16, 16, 1372
17, 17, 1229
18, 18, 1347
19, 19, 1267
20, 20, 1265
21, 21, 1341
22, 22, 1386
23, 23, 1413
24, 24, 1327
25, 25, 1406
26, 26, 1440
27, 27, 1450
28, 28, 1503
29, 29, 1495
30, 30, 1460
31, 31, 1386
32, 32, 1379
33, 33, 1273
34, 34, 1203
35, 35, 1259
36, 36, 1238
37, 37, 1300
38, 38, 1231
39, 39, 1257
40, 40, 1335
41, 41, 1414
42, 42, 1421
43, 43, 1470
44, 44, 1442
45, 45, 1490
46, 46, 1505
47, 47, 1490
48, 48, 1542
49, 49, 1512
50, 50, 1513
51, 51, 1470
52, 52, 1517
53, 53, 1352
54, 54, 1489
55, 55, 1407
56, 56, 1494
57, 57, 1427
58, 58, 1571
59, 59, 1541
60, 60, 1697
61, 61, 1627
62, 62, 1822
63, 63, 1916
64, 64, 1965
65, 65, 2178
66, 66, 2218
67, 67, 2391
68, 68, 2674
69, 69, 2723
70, 70, 2942
71, 71, 3050
72, 72, 2907
73, 73, 2968
74, 74, 2995
75, 75, 2915
76, 76, 2820
77, 77, 2649
78, 78, 2550
79, 79, 2499
80, 80, 2452
81, 81, 2367
82, 82, 2368
83, 83, 2379
84, 84, 2337
85, 85, 2421
86, 86, 2358
87, 87, 2512
88, 88, 2567
89, 89, 2649
90, 90, 2699
91, 91, 2775
92, 92, 2890
93, 93, 3039
94, 94, 3040
95, 95, 3081
96, 96, 3222
97, 97, 3358
98, 98, 3584
99, 99, 3738
100, 100, 4106
101, 101, 4344
102, 102, 4726
103, 103, 5059
104, 104, 5242
105, 105, 5740
106, 106, 6133
107, 107, 6513
108, 108, 6931
109, 109, 7448
110, 110, 7837
111, 111, 8041
112, 112, 8189
113, 113, 8511
114, 114, 8550
115, 115, 8437
116, 116, 8354
117, 117, 7911
118, 118, 7937
119, 119, 7710
120, 120, 7249
121, 121, 7024
122, 122, 6994
123, 123, 6715
124, 124, 6680
125, 125, 6642
126, 126, 6381
127, 127, 6159
128, 128, 6138
129, 129, 5987
130, 130, 5996
131, 131, 5737
132, 132, 5626
133, 133, 5531
134, 134, 5215
135, 135, 5361
136, 136, 5267
137, 137, 4941
138, 138, 4718
139, 139, 4701
140, 140, 4501
141, 141, 4597
142, 142, 4427
143, 143, 4361
144, 144, 4325
145, 145, 4169
146, 146, 4240
147, 147, 4178
148, 148, 4156
149, 149, 4096
150, 150, 4100
151, 151, 4174
152, 152, 4179
153, 153, 3964
154, 154, 4240
155, 155, 4257
156, 156, 4110
157, 157, 4097
158, 158, 4067
159, 159, 4196
160, 160, 4191
161, 161, 4115
162, 162, 4152
163, 163, 4139
164, 164, 4118
165, 165, 4084
166, 166, 4132
167, 167, 4192
168, 168, 4111
169, 169, 4113
170, 170, 4037
171, 171, 4076
172, 172, 4123
173, 173, 4100
174, 174, 4145
175, 175, 4151
176, 176, 4119
177, 177, 4022
178, 178, 4027
179, 179, 4085
180, 180, 4095
181, 181, 4040
182, 182, 4085
183, 183, 4129
184, 184, 3984
185, 185, 3892
186, 186, 4086
187, 187, 4024
188, 188, 3927
189, 189, 4027
190, 190, 3886
191, 191, 3947
192, 192, 3929
193, 193, 4000
194, 194, 3820
195, 195, 3790
196, 196, 3850
197, 197, 3806
198, 198, 3846
199, 199, 3847
200, 200, 3721
201, 201, 3878
202, 202, 3749
203, 203, 3788
204, 204, 3652
205, 205, 3725
206, 206, 3694
207, 207, 3573
208, 208, 3620
209, 209, 3605
210, 210, 3593
211, 211, 3652
212, 212, 3497
213, 213, 3534
214, 214, 3539
215, 215, 3540
216, 216, 3480
217, 217, 3481
218, 218, 3527
219, 219, 3326
220, 220, 3459
221, 221, 3504
222, 222, 3249
223, 223, 3270
224, 224, 3314
225, 225, 3373
226, 226, 3476
227, 227, 3323
228, 228, 3288
229, 229, 3249
230, 230, 3383
231, 231, 3231
232, 232, 3187
233, 233, 3202
234, 234, 3206
235, 235, 3190
236, 236, 3181
237, 237, 3091
238, 238, 3208
239, 239, 3101
240, 240, 3087
241, 241, 3045
242, 242, 3169
243, 243, 3078
244, 244, 3116
245, 245, 3043
246, 246, 3031
247, 247, 2962
248, 248, 3070
249, 249, 3100
250, 250, 3015
251, 251, 2913
252, 252, 2963
253, 253, 2923
254, 254, 2965
255, 255, 2875
256, 256, 2931
257, 257, 2955
258, 258, 2885
259, 259, 2876
260, 260, 2818
261, 261, 2773
262, 262, 2871
263, 263, 2872
264, 264, 2805
265, 265, 2815
266, 266, 2849
267, 267, 2768
268, 268, 2733
269, 269, 2721
270, 270, 2743
271, 271, 2772
272, 272, 2735
273, 273, 2701
274, 274, 2755
275, 275, 2671
276, 276, 2692
277, 277, 2683
278, 278, 2682
279, 279, 2760
280, 280, 2609
281, 281, 2626
282, 282, 2574
283, 283, 2574
284, 284, 2622
285, 285, 2574
286, 286, 2601
287, 287, 2601
288, 288, 2543
289, 289, 2551
290, 290, 2403
291, 291, 2496
292, 292, 2556
293, 293, 2458
294, 294, 2376
295, 295, 2465
296, 296, 2395
297, 297, 2378
298, 298, 2456
299, 299, 2426
300, 300, 2407
301, 301, 2373
302, 302, 2457
303, 303, 2443
304, 304, 2317
305, 305, 2475
306, 306, 2254
307, 307, 2315
308, 308, 2319
309, 309, 2351
310, 310, 2334
311, 311, 2265
312, 312, 2303
313, 313, 2319
314, 314, 2378
315, 315, 2285
316, 316, 2253
317, 317, 2308
318, 318, 2375
319, 319, 2242
320, 320, 2316
321, 321, 2279
322, 322, 2312
323, 323, 2393
324, 324, 2301
325, 325, 2273
326, 326, 2343
327, 327, 2263
328, 328, 2263
329, 329, 2296
330, 330, 2314
331, 331, 2309
332, 332, 2213
333, 333, 2277
334, 334, 2238
335, 335, 2194
336, 336, 2196
337, 337, 2180
338, 338, 2263
339, 339, 2167
340, 340, 2154
341, 341, 2116
342, 342, 2205
343, 343, 2088
344, 344, 1989
345, 345, 2077
346, 346, 2084
347, 347, 1959
348, 348, 1999
349, 349, 2007
350, 350, 1952
351, 351, 1959
352, 352, 1943
353, 353, 1916
354, 354, 1973
355, 355, 1854
356, 356, 1888
357, 357, 1825
358, 358, 1824
359, 359, 1794
360, 360, 1731
361, 361, 1829
362, 362, 1730
363, 363, 1737
364, 364, 1737
365, 365, 1733
366, 366, 1695
367, 367, 1743
368, 368, 1816
369, 369, 1751
370, 370, 1755
371, 371, 1607
372, 372, 1665
373, 373, 1665
374, 374, 1658
375, 375, 1672
376, 376, 1669
377, 377, 1650
